Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,63,8,15.5,1.6,4.0,.395,1.1,3.0,.383,0.4,1.0,.431,.538,0.5,0.6,.872,0.4,1.2,1.6,0.4,0.5,0.1,0.4,1.7,4.9
2,Quincy Acy\acyqu01,PF,27,BRK,58,8,19.5,1.7,5.0,.336,1.3,3.9,.328,0.4,1.1,.365,.464,0.8,1.0,.821,0.6,3.3,3.9,0.8,0.5,0.3,1.0,2.1,5.5
3,Steven Adams\adamsst01,C,24,OKC,64,64,32.4,5.9,9.2,.635,0.0,0.0,.000,5.9,9.2,.637,.635,2.0,3.5,.570,5.0,3.9,8.9,1.0,1.3,1.1,1.6,2.9,13.7
4,Bam Adebayo\adebaba01,C,20,MIA,58,13,19.8,2.5,4.8,.531,0.0,0.1,.000,2.5,4.7,.544,.531,1.9,2.7,.727,1.6,3.8,5.4,1.5,0.5,0.7,0.9,2.0,7.0
5,Arron Afflalo\afflaar01,SG,32,ORL,46,2,12.6,1.2,2.9,.393,0.5,1.2,.386,0.7,1.7,.397,.474,0.4,0.5,.833,0.1,1.3,1.3,0.5,0.0,0.2,0.4,1.1,3.2
6,Cole Aldrich\aldrico01,C,29,MIN,15,0,2.1,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.1,0.3,.500,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,0.5
7,LaMarcus Aldridge\aldrila01,C,32,SAS,60,60,33.5,8.7,17.5,.498,0.4,1.3,.313,8.3,16.2,.513,.510,4.4,5.2,.831,3.3,5.0,8.3,2.0,0.5,1.1,1.5,2.2,22.2
8,Jarrett Allen\allenja01,C,19,BRK,58,17,18.9,3.3,5.5,.589,0.1,0.2,.273,3.2,5.3,.600,.593,1.5,1.9,.782,2.0,3.2,5.3,0.7,0.4,0.9,1.1,2.0,8.1
9,Kadeem Allen\allenka01,PG,25,BOS,8,0,3.4,0.1,0.8,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.5,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.6
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
